 at1 at2 at3 at4 at5 at6 at7 at8 at9 at10 at11 at12 at13 at14
 1 2 2 3 1 1 1 1 2 3 4 3  3 1
 1 2 3 5 1 2 1 1 2 2 5 2  4 2
 2 2 3 3 1 1 1 2 1 1 4 4  1 3
 2 2 2 4 1 2 1 2 1 1 5 1 11 2
 1 2 0 0 2 2 1 2 1 3 5 1  2 3
 1 2 2 2 1 1 1 2 1 1 1 4  5 1
 1 3 2 0 1 2 1 2 1 1 5 4  4 1
 1 2 3 2 1 1 1 1 1 2 2 3  7 2
 2 2 2 0 1 1 1 2 1 1 3 2 12 2
 1 2 2 0 2 2 1 2 1 1 4 4  1 3
 1 2 0 0 1 2 1 2 1 1 5 4  2 3
 1 1 0 0 2 2 1 2 1 1 2 4  2 3
 2 2 3 3 2 2 1 2 1 1 5 4  3 2
 2 2 3 3 1 1 1 1 1 3 2 3 12 2
 1 2 3 0 2 2 1 2 1 1 1 4  4 2
 1 2 0 0 1 2 1 2 1 1 3 4 12 2
 1 2 1 0 1 2 1 2 1 1 5 4  3 1
 1 3 0 0 1 2 1 2 1 1 2 4  3 1
 1 2 2 0 2 2 1 2 1 3 5 3  2 3
 2 2 3 0 1 2 1 2 1 1 5 4  2 2
 1 3 2 0 1 2 1 2 1 1 5 4  1 3
 2 2 0 0 1 2 1 2 1 1 3 4  1 3
 1 1 2 3 1 1 1 2 1 1 2 3 12 2
 1 1 0 0 2 2 1 2 1 1 2 4  1 3
 1 2 3 2 1 2 2 2 1 1 4 4  4 2
 2 1 2 3 1 1 2 2 1 4 5 4 12 2
 1 2 3 3 1 1 2 2 1 3 3 1  4 2
 2 2 3 3 1 2 2 2 1 1 1 4  2 2
 2 2 3 3 1 1 2 2 1 1 2 4  5 2
 1 2 2 4 1 2 2 2 1 1 2 1 12 2
 1 2 2 3 1 2 2 2 1 2 5 4 12 2
 1 2 3 5 2 1 2 2 1 2 4 4  2 2
 1 2 2 3 1 2 2 2 1 2 5 2 12 2
 1 2 2 4 1 1 2 2 1 1 5 1 12 2
 1 2 2 0 1 2 2 2 1 1 4 1 12 2
 1 2 2 5 1 1 2 2 1 1 3 4  3 1
 2 2 3 3 1 2 2 1 1 2 5 2 12 2
 1 2 2 3 1 2 2 2 1 1 3 4  8 2
 2 2 2 0 1 2 2 2 1 1 5 4  0 3
 1 1 3 4 1 1 2 2 1 1 2 4 11 2
 1 2 3 3 1 2 2 1 1 3 5 3 12 2
 1 2 3 3 1 1 2 2 1 1 4 1 12 2
 1 2 1 0 1 2 2 2 1 1 5 4  2 3
 1 2 3 4 1 1 2 2 1 3 5 2 12 2
 2 2 3 3 1 2 2 2 1 1 5 4  2 2
 2 2 3 0 2 1 2 2 1 2 4 2  2 2
 1 2 3 4 1 1 2 2 1 2 3 2 11 2
 2 2 3 1 1 1 2 2 1 1 4 2 11 2
 1 2 1 0 1 1 2 2 1 1 5 4  3 1
 2 2 2 0 1 2 2 2 1 1 5 3 12 2
 1 2 0 0 1 2 2 2 1 1 3 4  2 3
 1 2 2 0 1 2 2 1 1 3 4 3  3 1
 1 2 3 2 1 1 2 2 1 1 2 4  2 2
 2 3 2 4 1 1 2 1 1 3 3 3 11 2
 2 2 3 3 1 2 2 2 1 2 5 4 12 2
 1 2 2 3 1 2 2 2 2 3 4 2  2 3
 1 2 3 3 1 1 2 2 1 1 5 4  4 2
 1 2 3 5 1 1 2 2 1 1 5 1 12 2
 1 2 2 0 1 2 2 2 2 2 2 2  3 1
 2 2 2 3 1 2 2 2 1 1 5 2 12 2
 1 2 3 3 1 2 2 2 1 2 5 2 12 2
 2 3 2 3 1 1 2 2 1 1 4 1 11 2
 2 2 3 1 1 1 2 2 1 1 2 4  2 2
 1 2 0 0 1 2 2 2 1 1 4 4 12 2
 1 1 2 3 1 1 2 2 1 1 3 1 12 2
 2 2 2 2 2 2 2 2 1 2 2 4  2 3
 1 2 3 4 1 1 2 2 1 1 3 3 12 2
 2 2 3 3 2 2 2 2 1 1 2 4  2 3
 1 1 2 3 1 2 2 1 1 2 4 4 12 2
 1 2 3 3 1 1 2 2 1 1 3 4  3 2
 1 2 2 4 1 1 2 2 1 1 5 2 11 2
 2 2 2 4 1 2 2 2 1 3 5 4 12 2
 1 2 2 3 1 1 2 2 2 2 2 2  3 1
 1 2 2 3 1 1 2 2 1 2 5 4  0 3
 2 2 3 4 1 2 2 2 1 1 4 1 12 2
 2 2 0 0 2 2 2 2 1 2 2 3  2 3
 2 2 2 4 1 2 2 2 1 1 5 4 12 2
 2 2 2 5 1 2 2 2 1 1 3 4  1 3
 2 2 3 5 1 2 2 2 1 2 2 1 12 2
 1 2 3 0 1 2 2 1 1 2 5 1 12 2
 1 2 2 0 1 1 2 2 2 3 3 1  3 1
 1 2 2 3 1 2 2 2 1 1 4 4 12 2
 2 2 3 3 1 2 2 2 1 2 2 1  4 2
 2 2 2 2 1 1 2 2 2 3 4 1  1 3
 2 2 1 0 1 2 2 2 1 1 4 4  2 3
 1 2 3 2 1 1 2 2 1 1 3 4  2 2
 1 2 2 3 1 2 2 2 1 1 2 4 12 2
 1 2 2 0 1 2 2 2 1 3 4 3 12 2
 1 2 3 3 2 2 2 2 1 1 4 4  1 3
 1 3 0 0 1 2 2 2 1 1 1 4  1 3
 2 3 2 5 1 2 2 1 1 2 5 2  4 1
 1 1 2 5 1 1 2 1 1 2 3 1 12 2
 1 2 3 4 1 2 2 2 1 2 3 2 12 2
 1 3 2 2 1 2 2 2 1 1 5 1 12 2
 1 2 2 4 1 2 2 2 1 1 5 1 11 2
 1 2 2 4 1 2 2 1 1 2 5 2 12 2
 2 2 3 2 1 2 2 2 1 1 2 4  1 2
 2 2 0 0 1 2 2 1 1 2 4 1 12 2
 1 2 4 4 1 2 2 2 1 1 2 1 11 2
 2 2 2 3 1 2 2 2 1 1 5 4  2 3
 1 2 3 2 1 1 2 2 1 1 2 3 12 2
 1 1 2 0 1 3 2 2 1 1 5 4 12 2
 2 2 3 2 1 2 2 2 1 1 2 4  2 2
 2 2 3 5 1 2 2 2 2 2 4 4  2 3
 1 2 2 5 1 2 2 2 1 1 5 4  1 3
 1 2 2 3 1 2 2 2 1 1 4 4  3 1
 1 3 1 0 1 2 2 2 1 1 5 4  1 3
 1 2 2 0 1 3 2 2 1 1 5 3 12 2
 1 2 3 3 1 1 2 2 1 1 5 1 12 2
 2 2 3 4 1 2 3 2 1 1 5 4 12 2
 1 2 3 3 1 2 3 2 1 2 3 1 11 2
 1 2 3 5 1 2 3 2 1 1 4 1 12 2
 1 2 3 3 1 2 3 2 1 1 5 3 11 2
 1 2 2 5 1 2 3 1 1 3 4 3 12 2
 2 2 2 4 1 2 3 1 1 5 5 2 12 2
 1 2 3 3 2 2 3 1 1 2 5 3 11 2
 2 2 3 3 1 2 3 2 1 2 5 2 12 2
 1 2 3 4 1 2 3 2 1 1 5 2 12 2
